latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,risk_level,risk_score
25.8212,68.6638,319.3,1.3,1.2,2000-11-30,608,Terra,MODIS,69,6.2,285.6,23.5,D,0,High,0.775680958168685
16.5631,74.6295,314.1,1.1,1.0,2000-12-28,1727,Terra,MODIS,89,6.2,285.6,16.6,N,0,High,0.7711164474025167
26.5145,95.1594,337.8,1.4,1.2,2000-12-28,453,Terra,MODIS,91,6.2,290.9,60.2,D,0,High,0.7702285487204528
26.6128,95.1205,332.5,2.2,1.4,2000-12-11,410,Terra,MODIS,83,6.2,288.6,102.0,D,0,High,0.7604264467229283
17.0944,81.6285,302.6,1.0,1.0,2000-12-07,1708,Terra,MODIS,50,6.2,278.8,7.1,N,0,High,0.7592868122026839
27.9063,90.3576,325.1,2.0,1.4,2000-12-31,524,Terra,MODIS,84,6.2,285.2,65.7,D,0,High,0.7582454192219563
26.6535,86.9783,316.9,1.0,1.0,2000-12-29,1634,Terra,MODIS,94,6.2,282.2,18.9,N,0,High,0.7548113892287838
27.9342,90.8561,321.6,1.3,1.1,2000-12-30,441,Terra,MODIS,81,6.2,283.6,28.8,D,0,High,0.753833829913834
33.3561,71.2817,315.2,1.3,1.1,2000-12-01,1750,Terra,MODIS,91,6.2,281.6,25.2,N,0,High,0.7535273349825713
18.882,74.3202,312.7,1.0,1.0,2000-12-19,1734,Terra,MODIS,86,6.2,285.3,14.1,N,0,High,0.75270530727239
17.1957,74.1844,313.2,2.2,1.4,2000-11-05,1710,Terra,MODIS,87,6.2,286.9,43.0,N,0,High,0.7417091517499412
28.5183,69.9875,341.6,1.2,1.1,2000-11-30,607,Terra,MODIS,90,6.2,298.7,56.6,D,0,High,0.7405262188087823
21.5091,72.9877,315.4,1.0,1.0,2000-12-03,1735,Terra,MODIS,91,6.2,286.9,16.0,N,0,High,0.738974726025618
28.533,82.9357,327.2,2.3,1.5,2000-12-03,459,Terra,MODIS,85,6.2,288.7,80.8,D,0,High,0.7384854066454523
27.7758,94.0672,337.0,1.0,1.0,2000-11-28,441,Terra,MODIS,90,6.2,292.6,38.8,D,0,High,0.7352317860265577
10.7749,78.2717,316.8,1.0,1.0,2000-12-06,535,Terra,MODIS,66,6.2,291.2,11.5,D,0,High,0.7329350200295753
28.3886,84.9507,326.9,1.3,1.1,2000-12-26,505,Terra,MODIS,85,6.2,288.8,37.9,D,0,High,0.7312721174418955
29.2975,81.6897,333.0,1.6,1.2,2000-12-02,554,Terra,MODIS,88,6.2,292.3,64.9,D,0,High,0.7306674987172616
16.2615,80.8984,336.7,1.1,1.0,2000-12-22,533,Terra,MODIS,88,6.2,299.5,35.3,D,0,High,0.7301320100587854
26.5166,95.1916,334.3,1.4,1.2,2000-12-28,453,Terra,MODIS,89,6.2,291.8,53.6,D,0,High,0.7288088858130621
27.8974,90.3629,314.5,2.0,1.4,2000-12-31,524,Terra,MODIS,72,6.2,281.5,37.6,D,0,High,0.7287150998718092
17.6604,75.462,307.0,1.2,1.1,2000-12-26,1740,Terra,MODIS,70,6.2,284.1,12.7,N,0,High,0.7281199704309546
28.9729,82.1395,324.8,1.2,1.1,2000-12-20,542,Terra,MODIS,83,6.2,288.2,29.3,D,0,High,0.727595762141767
26.6137,95.1121,328.4,2.2,1.4,2000-12-11,410,Terra,MODIS,81,6.2,288.6,85.5,D,0,High,0.7275652766239676
21.8162,73.0794,327.3,1.0,1.0,2000-11-08,1742,Terra,MODIS,100,6.2,293.9,26.6,N,0,High,0.7274538381889822
30.106,81.9647,315.0,2.1,1.4,2000-11-08,506,Terra,MODIS,64,6.2,282.6,41.6,D,0,High,0.7258000763636614
26.1548,69.03,314.3,1.2,1.1,2000-11-13,1801,Terra,MODIS,89,6.2,286.2,19.2,N,0,High,0.7239192312045657
29.8529,68.2394,311.6,1.2,1.1,2000-12-03,1737,Terra,MODIS,83,6.2,283.5,17.4,N,0,High,0.7236284741976027
26.655,86.9884,314.2,1.0,1.0,2000-12-29,1634,Terra,MODIS,89,6.2,282.8,16.6,N,0,High,0.7233494049204542
27.9096,90.3652,316.7,2.0,1.4,2000-12-31,524,Terra,MODIS,72,6.2,283.1,43.1,D,0,High,0.7218772138394713
25.3193,94.5883,322.2,1.0,1.0,2000-12-30,441,Terra,MODIS,81,6.2,286.4,21.9,D,0,High,0.7210656003352179
27.9422,90.8653,326.9,1.3,1.1,2000-12-30,441,Terra,MODIS,83,6.2,288.7,33.8,D,0,High,0.719007679028645
18.7637,79.9956,311.0,3.3,1.7,2000-11-30,609,Terra,MODIS,0,6.2,285.6,40.0,D,0,High,0.7180277908029656
33.7726,70.3234,302.8,1.0,1.0,2000-12-03,1738,Terra,MODIS,51,6.2,277.3,9.3,N,0,High,0.7173924573006195
28.3652,85.0,319.7,1.0,1.0,2000-12-24,518,Terra,MODIS,40,6.2,285.9,17.2,D,0,High,0.7164189151433968
31.426,77.7,308.4,1.3,1.1,2000-12-21,1725,Terra,MODIS,74,6.2,280.0,17.1,N,0,High,0.715472992732429
33.3741,76.1923,322.6,1.0,1.0,2000-11-07,600,Terra,MODIS,82,6.2,287.3,19.6,D,0,High,0.7135104796554829
31.0701,78.4019,313.5,1.0,1.0,2000-11-09,549,Terra,MODIS,63,6.2,282.9,11.7,D,0,High,0.7134180243303612
21.6898,72.5561,315.5,1.2,1.1,2000-12-12,1728,Terra,MODIS,91,6.2,288.6,17.7,N,0,High,0.713008887917415
31.8052,69.9429,307.3,1.4,1.2,2000-11-19,1726,Terra,MODIS,71,6.2,280.8,16.7,N,0,High,0.7129507205660678
19.2291,73.2094,319.6,1.0,1.0,2000-12-03,1734,Terra,MODIS,99,6.2,291.7,18.4,N,0,High,0.711858841318441
17.8155,75.1147,306.2,1.0,1.0,2000-12-19,1734,Terra,MODIS,67,6.2,284.7,9.6,N,0,High,0.7117428528492049
28.9887,82.7203,313.8,3.9,1.8,2000-12-07,612,Terra,MODIS,68,6.2,283.0,94.5,D,0,High,0.7116518411486602
19.1587,73.8148,310.8,1.1,1.0,2000-12-28,1728,Terra,MODIS,81,6.2,286.9,13.9,N,0,High,0.7115955120942817
28.981,82.7167,319.6,3.9,1.8,2000-12-07,612,Terra,MODIS,79,6.2,286.3,140.0,D,0,High,0.7071451773539876
19.5066,74.8457,305.1,1.1,1.1,2000-12-26,1740,Terra,MODIS,63,6.2,283.8,11.2,N,0,High,0.7069453519512806
21.5933,77.317,324.9,1.6,1.3,2000-12-15,526,Terra,MODIS,75,6.2,293.2,38.9,D,0,High,0.7065982276614797
16.6723,74.5335,302.2,1.0,1.0,2000-12-26,1739,Terra,MODIS,47,6.2,283.5,8.2,N,0,High,0.7049177594294238
31.7952,69.9465,304.1,1.4,1.2,2000-11-19,1726,Terra,MODIS,58,6.2,279.7,13.7,N,0,High,0.7028275632112361
32.7835,72.6907,327.3,1.8,1.3,2000-12-27,548,Terra,MODIS,64,6.2,291.4,52.6,D,0,High,0.7004249165987617
10.0927,77.9316,312.4,2.2,1.4,2000-12-26,511,Terra,MODIS,26,6.2,291.2,25.1,D,0,High,0.699257984731765
21.9086,72.7548,312.4,1.0,1.0,2000-12-26,1741,Terra,MODIS,85,6.2,287.7,13.8,N,2,High,0.6984532317749079
28.8965,97.5766,309.0,1.0,1.0,2000-12-23,434,Terra,MODIS,66,6.2,278.8,12.9,D,0,High,0.6982823415950884
25.9105,68.8136,326.4,1.1,1.1,2000-12-28,632,Terra,MODIS,81,6.2,294.5,25.8,D,0,High,0.696788825647519
21.6837,72.5564,325.4,1.2,1.1,2000-11-10,1729,Terra,MODIS,100,6.2,294.9,28.0,N,0,High,0.696747625332648
30.1928,80.2721,311.4,1.3,1.1,2000-12-18,554,Terra,MODIS,68,6.2,282.8,17.9,D,0,High,0.6961079689007501
13.5651,79.1446,323.3,1.2,1.1,2000-12-24,522,Terra,MODIS,76,6.2,295.9,22.8,D,0,High,0.6933063949283665
28.7527,93.3971,327.2,1.0,1.0,2000-12-30,440,Terra,MODIS,81,6.2,289.7,26.6,D,0,High,0.6929226203691157
26.1543,69.0207,333.0,1.3,1.1,2000-11-14,609,Terra,MODIS,83,6.2,298.3,40.3,D,0,High,0.6899523327648757
16.5626,74.5661,312.7,1.0,1.0,2000-12-03,1733,Terra,MODIS,85,6.2,290.1,11.8,N,0,High,0.6896404813143948
25.2302,68.4475,336.9,1.1,1.1,2000-11-26,633,Terra,MODIS,86,6.2,300.9,36.1,D,0,High,0.6893851994497392
16.8189,74.6344,304.8,1.0,1.0,2000-12-19,1733,Terra,MODIS,62,6.2,285.8,8.5,N,0,High,0.6885793455524075
29.1006,81.917,330.6,1.3,1.1,2000-11-06,518,Terra,MODIS,87,6.2,293.7,43.0,D,0,High,0.6879412460340099
22.6382,76.7985,310.8,1.0,1.0,2000-12-14,1716,Terra,MODIS,81,6.2,286.5,13.1,N,0,High,0.687302251633802
26.4334,95.0353,336.0,1.0,1.0,2000-12-30,441,Terra,MODIS,85,6.2,295.4,36.4,D,0,High,0.6863444790712023
12.0878,78.9842,318.6,1.2,1.1,2000-12-24,522,Terra,MODIS,63,6.2,294.4,13.2,D,0,High,0.6861319509654248
21.5925,77.3278,313.6,1.0,1.0,2000-12-14,1716,Terra,MODIS,88,6.2,288.4,14.7,N,0,High,0.685760036562298
18.02,75.1401,340.5,1.1,1.0,2000-12-04,545,Terra,MODIS,89,6.2,304.6,39.9,D,0,High,0.6857028780860492
17.0651,74.2029,302.9,1.3,1.1,2000-11-19,1722,Terra,MODIS,52,6.2,285.0,10.8,N,0,High,0.6843534140769636
30.3263,74.0835,337.7,1.0,1.0,2000-12-09,600,Terra,MODIS,90,6.2,298.7,36.5,D,0,High,0.6840423373185075
35.5789,74.241,312.8,1.3,1.1,2000-11-03,624,Terra,MODIS,73,6.2,283.3,17.9,D,0,High,0.683847295217961
16.9843,74.4277,302.1,1.1,1.0,2000-12-28,1727,Terra,MODIS,47,6.2,284.6,7.9,N,0,High,0.6837700896515887
30.8052,77.9421,315.8,1.0,1.0,2000-12-18,554,Terra,MODIS,76,6.2,286.1,17.3,D,0,High,0.68344687464846
27.2909,91.0255,310.5,1.2,1.1,2000-12-26,505,Terra,MODIS,70,6.2,282.3,16.8,D,0,High,0.6825974824586875
26.6465,79.4756,304.1,1.4,1.2,2000-12-21,1724,Terra,MODIS,26,6.2,281.2,13.3,N,0,High,0.6818828075361384
30.1905,80.2854,313.0,1.3,1.1,2000-12-18,554,Terra,MODIS,73,6.2,284.5,20.5,D,0,High,0.6817100647912105
28.0714,90.021,307.8,1.5,1.2,2000-12-24,518,Terra,MODIS,66,6.2,280.8,16.2,D,0,High,0.6813418212102681
21.8239,73.0681,319.1,1.0,1.0,2000-11-08,1742,Terra,MODIS,98,6.2,292.3,17.1,N,0,High,0.6811281311920403
21.1819,79.0157,303.3,1.4,1.2,2000-12-25,1658,Terra,MODIS,55,6.2,283.0,13.3,N,0,High,0.6806715893632492
27.1939,91.4248,320.9,1.2,1.1,2000-12-26,506,Terra,MODIS,80,6.2,288.0,27.2,D,0,High,0.6800070438271842
29.6362,82.2096,320.7,1.7,1.3,2000-11-16,555,Terra,MODIS,80,6.2,288.6,39.6,D,0,High,0.6795686819809018
30.2759,70.8777,328.2,1.0,1.0,2000-12-14,619,Terra,MODIS,83,6.2,294.6,24.7,D,0,High,0.6770287641483901
28.8093,79.4944,333.7,1.0,1.0,2000-11-27,536,Terra,MODIS,88,6.2,296.6,31.6,D,0,High,0.6765715376789931
31.43,75.7808,328.0,1.2,1.1,2000-12-11,548,Terra,MODIS,85,6.2,293.2,30.3,D,0,High,0.676452411321958
27.7462,87.7372,310.0,1.3,1.1,2000-12-15,524,Terra,MODIS,69,6.2,282.8,17.3,D,0,High,0.6763865045243108
31.9123,77.285,307.2,1.4,1.2,2000-12-29,535,Terra,MODIS,65,6.2,281.6,18.0,D,0,High,0.6757626636542902
12.0846,78.9882,315.1,1.2,1.1,2000-12-24,522,Terra,MODIS,68,6.2,293.2,9.9,D,0,High,0.6743811192654183
29.787,81.8457,317.8,1.0,1.0,2000-12-22,530,Terra,MODIS,78,6.2,287.4,17.9,D,0,High,0.6742484653834753
28.5204,69.9924,318.3,2.5,1.5,2000-12-11,549,Terra,MODIS,68,6.2,290.2,55.4,D,0,High,0.673805215332091
21.9074,72.7546,309.5,1.1,1.1,2000-12-17,1747,Terra,MODIS,78,6.2,287.6,13.1,N,2,High,0.6734148383419343
21.5258,72.9159,316.5,1.0,1.0,2000-11-17,1735,Terra,MODIS,93,6.2,291.5,15.5,N,0,High,0.6731667299883725
30.6638,79.0332,325.2,1.1,1.1,2000-12-29,536,Terra,MODIS,84,6.2,291.6,29.5,D,0,High,0.6730368084825057
28.4087,84.4653,307.7,1.3,1.1,2000-12-29,536,Terra,MODIS,63,6.2,282.1,14.4,D,0,High,0.6728407645905061
21.1889,81.414,318.3,1.1,1.0,2000-11-21,1710,Terra,MODIS,97,6.2,291.1,18.3,N,0,High,0.6728027982112318
21.1981,81.4126,318.9,1.1,1.0,2000-11-21,1710,Terra,MODIS,98,6.2,291.5,18.9,N,0,High,0.6713813763875806
18.0524,75.1313,305.3,1.4,1.2,2000-12-17,1746,Terra,MODIS,64,6.2,286.5,13.5,N,0,High,0.6712740999943845
16.6268,74.9066,303.6,1.1,1.0,2000-12-10,1739,Terra,MODIS,56,6.2,286.2,8.7,N,0,High,0.6708688291468511
27.9325,90.87,322.3,1.3,1.1,2000-12-30,441,Terra,MODIS,82,6.2,289.1,29.5,D,0,High,0.6707184362944271
29.8082,81.4843,304.3,1.2,1.1,2000-11-25,548,Terra,MODIS,46,6.2,280.4,12.9,D,0,High,0.6705290361923656
29.8626,68.2362,302.7,1.2,1.1,2000-12-03,1737,Terra,MODIS,51,6.2,281.9,10.0,N,0,High,0.6702152729222031
16.594,74.8255,309.2,1.1,1.0,2000-11-08,1740,Terra,MODIS,77,6.2,289.3,11.2,N,0,High,0.6698323731414069
30.9567,78.4029,315.5,1.0,1.0,2000-12-27,548,Terra,MODIS,76,6.2,286.6,15.4,D,0,High,0.6695740916299998
30.6123,79.2358,302.9,1.3,1.1,2000-12-09,600,Terra,MODIS,41,6.2,279.8,12.3,D,0,High,0.6694878682078454
27.7488,86.5292,305.5,1.8,1.3,2000-11-27,536,Terra,MODIS,53,6.2,281.0,21.4,D,0,High,0.6689923921104326
28.5168,69.9999,331.8,1.2,1.1,2000-11-30,607,Terra,MODIS,84,6.2,297.8,36.4,D,0,High,0.6689726416885756
